timestamp,room_id,area,doors_area,panels_area,hours,days,months,temprature_value,humidity_value
6/27/25 16:17,325,12.298159414814,1.935,12.4058259984374,16,27,6,22.372039794922,56.239315032959
6/27/25 16:02,325,12.298159414814,1.935,12.4058259984374,16,27,6,22.372039794922,55.921855926514
6/27/25 15:47,325,12.298159414814,1.935,12.4058259984374,15,27,6,22.372039794922,55.604396820068
6/27/25 15:32,325,12.298159414814,1.935,12.4058259984374,15,27,6,22.309494018555,55.506717681885
6/27/25 15:17,325,12.298159414814,1.935,12.4058259984374,15,27,6,22.309494018555,55.433456420898
6/27/25 15:02,325,12.298159414814,1.935,12.4058259984374,15,27,6,22.309494018555,55.384616851807
6/27/25 14:47,325,12.298159414814,1.935,12.4058259984374,14,27,6,22.246963500977,55.286937713623
6/27/25 14:32,325,12.298159414814,1.935,12.4058259984374,14,27,6,22.246963500977,55.238094329834
6/27/25 14:17,325,12.298159414814,1.935,12.4058259984374,14,27,6,22.246963500977,55.042736053467
6/27/25 14:02,325,12.298159414814,1.935,12.4058259984374,14,27,6,22.246963500977,54.920635223389
6/27/25 13:47,325,12.298159414814,1.935,12.4058259984374,13,27,6,22.184417724609,54.749694824219
6/27/25 13:32,325,12.298159414814,1.935,12.4058259984374,13,27,6,22.184417724609,54.652015686035
6/27/25 13:17,325,12.298159414814,1.935,12.4058259984374,13,27,6,22.121871948242,54.652015686035
6/27/25 13:02,325,12.298159414814,1.935,12.4058259984374,13,27,6,22.121871948242,54.578754425049
6/27/25 12:47,325,12.298159414814,1.935,12.4058259984374,12,27,6,22.059341430664,54.529914855957
6/27/25 12:32,325,12.298159414814,1.935,12.4058259984374,12,27,6,22.059341430664,54.554332733154
6/27/25 12:17,325,12.298159414814,1.935,12.4058259984374,12,27,6,22.059341430664,54.50549697876
6/27/25 12:02,325,12.298159414814,1.935,12.4058259984374,12,27,6,21.996795654297,54.456653594971
6/27/25 11:47,325,12.298159414814,1.935,12.4058259984374,11,27,6,21.996795654297,54.407817840576
6/27/25 11:32,325,12.298159414814,1.935,12.4058259984374,11,27,6,21.93424987793,54.261295318604
6/27/25 11:17,325,12.298159414814,1.935,12.4058259984374,11,27,6,21.93424987793,54.383392333984
6/27/25 11:02,325,12.298159414814,1.935,12.4058259984374,11,27,6,21.871719360352,54.407817840576
6/27/25 10:47,325,12.298159414814,1.935,12.4058259984374,10,27,6,21.809173583984,54.456653594971
6/27/25 10:32,325,12.298159414814,1.935,12.4058259984374,10,27,6,21.746643066406,54.50549697876
6/27/25 10:17,325,12.298159414814,1.935,12.4058259984374,10,27,6,21.746643066406,54.50549697876
6/27/25 10:02,325,12.298159414814,1.935,12.4058259984374,10,27,6,21.692493438721,54.432235717773
6/27/25 9:47,325,12.298159414814,1.935,12.4058259984374,9,27,6,21.684097290039,54.358974456787
6/27/25 9:32,325,12.298159414814,1.935,12.4058259984374,9,27,6,21.621551513672,54.212455749512
6/27/25 9:17,325,12.298159414814,1.935,12.4058259984374,9,27,6,21.621551513672,54.139194488525
6/27/25 9:02,325,12.298159414814,1.935,12.4058259984374,9,27,6,21.621551513672,54.017097473145
6/27/25 8:47,325,12.298159414814,1.935,12.4058259984374,8,27,6,21.559020996094,54.017097473145
6/27/25 8:32,325,12.298159414814,1.935,12.4058259984374,8,27,6,21.496490478516,53.919414520264
6/27/25 8:17,325,12.298159414814,1.935,12.4058259984374,8,27,6,21.496490478516,53.797313690186
6/27/25 8:02,325,12.298159414814,1.935,12.4058259984374,8,27,6,21.496490478516,53.553115844727
6/27/25 7:47,325,12.298159414814,1.935,12.4058259984374,7,27,6,21.496490478516,53.235656738281
6/27/25 7:32,325,12.298159414814,1.935,12.4058259984374,7,27,6,21.496490478516,52.942615509033
6/27/25 7:17,325,12.298159414814,1.935,12.4058259984374,7,27,6,21.496490478516,52.625152587891
6/27/25 7:02,325,12.298159414814,1.935,12.4058259984374,7,27,6,21.496490478516,52.380954742432
6/27/25 6:47,325,12.298159414814,1.935,12.4058259984374,6,27,6,21.496490478516,52.234432220459
6/27/25 6:32,325,12.298159414814,1.935,12.4058259984374,6,27,6,21.559020996094,52.107448577881
6/27/25 6:17,325,12.298159414814,1.935,12.4058259984374,6,27,6,21.621551513672,51.990234375
6/27/25 6:02,325,12.298159414814,1.935,12.4058259984374,6,27,6,21.684097290039,51.809288024902
6/27/25 5:47,325,12.298159414814,1.935,12.4058259984374,5,27,6,21.746643066406,51.575092315674
6/27/25 5:32,325,12.298159414814,1.935,12.4058259984374,5,27,6,21.746643066406,51.428569793701
6/27/25 5:17,325,12.298159414814,1.935,12.4058259984374,5,27,6,21.746643066406,51.404151916504
6/27/25 5:02,325,12.298159414814,1.935,12.4058259984374,5,27,6,21.746643066406,51.404151916504
6/27/25 4:47,325,12.298159414814,1.935,12.4058259984374,4,27,6,21.746643066406,51.404151916504
6/27/25 4:32,325,12.298159414814,1.935,12.4058259984374,4,27,6,21.809173583984,51.379734039307
6/27/25 4:17,325,12.298159414814,1.935,12.4058259984374,4,27,6,21.809173583984,51.330890655518
6/27/25 4:02,325,12.298159414814,1.935,12.4058259984374,4,27,6,21.809173583984,51.330890655518
6/27/25 3:47,325,12.298159414814,1.935,12.4058259984374,3,27,6,21.821681976318,51.282054901123
6/27/25 3:32,325,12.298159414814,1.935,12.4058259984374,3,27,6,21.871719360352,51.208793640137
6/27/25 3:17,325,12.298159414814,1.935,12.4058259984374,3,27,6,21.871719360352,51.159950256348
6/27/25 3:02,325,12.298159414814,1.935,12.4058259984374,3,27,6,21.93424987793,51.062271118164
