timestamp,room_id,area,doors_area,panels_area,hours,days,months,temprature_value,humidity_value,co2_value
6/27/25 18:22,227,123.321674999996,33.7,0.0,18,27,6,20.808547973633,69.541923522949,444.93283081055
6/27/25 18:07,227,123.321674999996,33.7,0.0,18,27,6,20.808547973633,68.962471008301,445.90963745117
6/27/25 17:52,227,123.321674999996,33.7,0.0,17,27,6,20.808547973633,68.116035461426,451.14685058594
6/27/25 17:37,227,123.321674999996,33.7,0.0,17,27,6,20.808547973633,68.498168945312,458.59954833984
6/27/25 17:22,227,123.321674999996,33.7,0.0,17,27,6,20.808547973633,67.912086486816,463.00369262695
6/27/25 17:07,227,123.321674999996,33.7,0.0,17,27,6,20.746002197266,68.72811126709,456.68905639648
6/27/25 16:52,227,123.321674999996,33.7,0.0,16,27,6,20.683456420898,69.020820617676,460.57073974609
6/27/25 16:37,227,123.321674999996,33.7,0.0,16,27,6,20.683456420898,68.717948913574,446.8864440918
6/27/25 16:22,227,123.321674999996,33.7,0.0,16,27,6,20.746002197266,67.912086486816,444.93283081055
6/27/25 16:07,227,123.321674999996,33.7,0.0,16,27,6,20.746002197266,67.64347076416,447.86325073242
6/27/25 15:52,227,123.321674999996,33.7,0.0,15,27,6,20.746002197266,66.873947143555,458.5993347168
6/27/25 15:37,227,123.321674999996,33.7,0.0,15,27,6,20.746002197266,67.022483825684,455.84945678711
6/27/25 15:22,227,123.321674999996,33.7,0.0,15,27,6,20.746002197266,66.398048400879,452.72924804688
6/27/25 15:07,227,123.321674999996,33.7,0.0,15,27,6,20.746002197266,65.958488464355,462.97180175781
6/27/25 14:52,227,123.321674999996,33.7,0.0,14,27,6,20.746002197266,65.347984313965,452.71438598633
6/27/25 14:37,227,123.321674999996,33.7,0.0,14,27,6,20.746002197266,65.054946899414,451.77044677734
6/27/25 14:22,227,123.321674999996,33.7,0.0,14,27,6,20.746002197266,64.907241821289,451.77044677734
6/27/25 14:07,227,123.321674999996,33.7,0.0,14,27,6,20.746002197266,64.737487792969,455.88629150391
6/27/25 13:52,227,123.321674999996,33.7,0.0,13,27,6,20.746002197266,64.639801025391,455.40914916992
6/27/25 13:37,227,123.321674999996,33.7,0.0,13,27,6,20.683456420898,63.49206161499,456.65444946289
6/27/25 13:22,227,123.321674999996,33.7,0.0,13,27,6,20.746002197266,63.101345062256,458.47521972656
6/27/25 13:07,227,123.321674999996,33.7,0.0,13,27,6,20.746002197266,63.394706726074,446.8864440918
6/27/25 12:52,227,123.321674999996,33.7,0.0,12,27,6,20.746002197266,63.02808380127,450.96960449219
6/27/25 12:37,227,123.321674999996,33.7,0.0,12,27,6,20.746002197266,63.174602508545,452.74725341797
6/27/25 12:22,227,123.321674999996,33.7,0.0,12,27,6,20.746002197266,62.51526260376,445.90963745117
6/27/25 12:07,227,123.321674999996,33.7,0.0,12,27,6,20.746002197266,62.584613800049,458.60806274414
6/27/25 11:52,227,123.321674999996,33.7,0.0,11,27,6,20.746002197266,61.953601837158,444.93283081055
6/27/25 11:37,227,123.321674999996,33.7,0.0,11,27,6,20.683456420898,61.611721038818,460.46942138672
6/27/25 11:22,227,123.321674999996,33.7,0.0,11,27,6,20.746002197266,61.758243560791,464.93536376953
6/27/25 11:07,227,123.321674999996,33.7,0.0,11,27,6,20.683456420898,61.709400177002,460.56164550781
6/27/25 10:52,227,123.321674999996,33.7,0.0,10,27,6,20.62092590332,61.495483398438,466.91088867188
6/27/25 10:37,227,123.321674999996,33.7,0.0,10,27,6,20.558380126953,62.637363433838,452.34088134766
6/27/25 10:22,227,123.321674999996,33.7,0.0,10,27,6,20.558380126953,63.321125030518,455.02212524414
6/27/25 10:07,227,123.321674999996,33.7,0.0,10,27,6,20.62092590332,63.467643737793,450.79364013672
6/27/25 9:52,227,123.321674999996,33.7,0.0,9,27,6,20.683456420898,63.614162445068,458.60806274414
6/27/25 9:37,227,123.321674999996,33.7,0.0,9,27,6,20.62092590332,62.86597442627,448.84005737305
6/27/25 9:22,227,123.321674999996,33.7,0.0,9,27,6,20.558380126953,63.03791809082,454.19393920898
6/27/25 9:07,227,123.321674999996,33.7,0.0,9,27,6,20.495849609375,63.199024200439,466.91088867188
6/27/25 8:52,227,123.321674999996,33.7,0.0,8,27,6,20.495849609375,62.905982971191,450.93417358398
6/27/25 8:37,227,123.321674999996,33.7,0.0,8,27,6,20.495849609375,62.8571434021,465.92425537109
6/27/25 8:22,227,123.321674999996,33.7,0.0,8,27,6,20.558380126953,63.445178985596,472.77169799805
6/27/25 8:07,227,123.321674999996,33.7,0.0,8,27,6,20.433303833008,62.68620300293,478.63250732422
6/27/25 7:52,227,123.321674999996,33.7,0.0,7,27,6,20.308227539062,62.954822540283,486.9352722168
6/27/25 7:37,227,123.321674999996,33.7,0.0,7,27,6,20.245697021484,62.930404663086,490.8424987793
6/27/25 7:22,227,123.321674999996,33.7,0.0,7,27,6,20.183135986328,62.075702667236,498.14135742188
6/27/25 7:07,227,123.321674999996,33.7,0.0,7,27,6,20.183135986328,61.236633300781,507.9365234375
6/27/25 6:52,227,123.321674999996,33.7,0.0,6,27,6,20.183135986328,60.561660766602,505.45938110352
6/27/25 6:37,227,123.321674999996,33.7,0.0,6,27,6,20.245697021484,60.268619537354,505.0061340332
6/27/25 6:22,227,123.321674999996,33.7,0.0,6,27,6,20.318717956543,60.195362091064,503.77157592773
6/27/25 6:07,227,123.321674999996,33.7,0.0,6,27,6,20.558380126953,59.65811920166,505.03317260742
6/27/25 5:52,227,123.321674999996,33.7,0.0,5,27,6,20.746002197266,58.68132019043,505.94979858398
