timestamp,room_id,area,doors_area,panels_area,hours,days,months,temprature_value,humidity_value
6/27/25 18:03,351,9.51365235817741,4.332,15.818,18,27,6,22.559661865234,54.993896484375
6/27/25 17:48,351,9.51365235817741,4.332,15.818,17,27,6,22.622192382812,54.788291931152
6/27/25 17:33,351,9.51365235817741,4.332,15.818,17,27,6,22.684722900391,54.529914855957
6/27/25 17:18,351,9.51365235817741,4.332,15.818,17,27,6,22.747283935547,54.065933227539
6/27/25 17:03,351,9.51365235817741,4.332,15.818,17,27,6,22.818206787109,53.772891998291
6/27/25 16:48,351,9.51365235817741,4.332,15.818,16,27,6,22.93489074707,53.553112030029
6/27/25 16:33,351,9.51365235817741,4.332,15.818,16,27,6,22.997436523438,53.211235046387
6/27/25 16:18,351,9.51365235817741,4.332,15.818,16,27,6,22.93489074707,53.064712524414
6/27/25 16:03,351,9.51365235817741,4.332,15.818,16,27,6,22.997436523438,52.678874969482
6/27/25 15:48,351,9.51365235817741,4.332,15.818,15,27,6,22.93489074707,52.600730895996
6/27/25 15:33,351,9.51365235817741,4.332,15.818,15,27,6,22.93489074707,52.600730895996
6/27/25 15:18,351,9.51365235817741,4.332,15.818,15,27,6,22.93489074707,52.503051757812
6/27/25 15:03,351,9.51365235817741,4.332,15.818,15,27,6,22.872344970703,52.527473449707
6/27/25 14:48,351,9.51365235817741,4.332,15.818,14,27,6,22.809814453125,52.454212188721
6/27/25 14:33,351,9.51365235817741,4.332,15.818,14,27,6,22.747283935547,52.332111358643
6/27/25 14:18,351,9.51365235817741,4.332,15.818,14,27,6,22.684722900391,52.136753082275
6/27/25 14:03,351,9.51365235817741,4.332,15.818,14,27,6,22.559661865234,51.965812683105
6/27/25 13:48,351,9.51365235817741,4.332,15.818,13,27,6,22.872344970703,51.428569793701
6/27/25 13:33,351,9.51365235817741,4.332,15.818,13,27,6,22.93489074707,51.062271118164
6/27/25 13:18,351,9.51365235817741,4.332,15.818,13,27,6,22.997436523438,50.809280395508
6/27/25 13:03,351,9.51365235817741,4.332,15.818,13,27,6,23.122512817383,50.525032043457
6/27/25 12:48,351,9.51365235817741,4.332,15.818,12,27,6,23.122512817383,50.159557342529
6/27/25 12:33,351,9.51365235817741,4.332,15.818,12,27,6,23.185043334961,50.061050415039
6/27/25 12:18,351,9.51365235817741,4.332,15.818,12,27,6,23.185043334961,50.061050415039
6/27/25 12:03,351,9.51365235817741,4.332,15.818,12,27,6,23.059967041016,50.525032043457
6/27/25 11:48,351,9.51365235817741,4.332,15.818,11,27,6,23.059967041016,49.865688323975
6/27/25 11:33,351,9.51365235817741,4.332,15.818,11,27,6,23.185043334961,50.085468292236
6/27/25 11:18,351,9.51365235817741,4.332,15.818,11,27,6,23.122512817383,50.329669952393
6/27/25 11:03,351,9.51365235817741,4.332,15.818,11,27,6,22.997436523438,50.769229888916
6/27/25 10:48,351,9.51365235817741,4.332,15.818,10,27,6,22.809814453125,51.159950256348
6/27/25 10:33,351,9.51365235817741,4.332,15.818,10,27,6,22.644702911377,50.68522644043
6/27/25 10:18,351,9.51365235817741,4.332,15.818,10,27,6,22.872344970703,50.818069458008
6/27/25 10:03,351,9.51365235817741,4.332,15.818,10,27,6,22.747283935547,51.111110687256
6/27/25 9:48,351,9.51365235817741,4.332,15.818,9,27,6,22.497116088867,51.575092315674
6/27/25 9:33,351,9.51365235817741,4.332,15.818,9,27,6,22.497116088867,51.550670623779
6/27/25 9:18,351,9.51365235817741,4.332,15.818,9,27,6,22.372039794922,51.672771453857
6/27/25 9:03,351,9.51365235817741,4.332,15.818,9,27,6,22.121871948242,52.380950927734
6/27/25 8:48,351,9.51365235817741,4.332,15.818,8,27,6,21.93424987793,52.820514678955
6/27/25 8:33,351,9.51365235817741,4.332,15.818,8,27,6,21.652072906494,53.064712524414
6/27/25 8:18,351,9.51365235817741,4.332,15.818,8,27,6,21.433929443359,52.707202911377
6/27/25 8:03,351,9.51365235817741,4.332,15.818,8,27,6,21.246322631836,52.478633880615
6/27/25 7:48,351,9.51365235817741,4.332,15.818,7,27,6,21.058700561523,52.244434356689
6/27/25 7:33,351,9.51365235817741,4.332,15.818,7,27,6,21.058700561523,51.843711853027
6/27/25 7:18,351,9.51365235817741,4.332,15.818,7,27,6,20.996170043945,51.623931884766
6/27/25 7:03,351,9.51365235817741,4.332,15.818,7,27,6,20.996170043945,51.282051086426
6/27/25 6:48,351,9.51365235817741,4.332,15.818,6,27,6,20.996170043945,51.111110687256
6/27/25 6:33,351,9.51365235817741,4.332,15.818,6,27,6,20.996170043945,50.671550750732
6/27/25 6:18,351,9.51365235817741,4.332,15.818,6,27,6,21.058700561523,49.865688323975
6/27/25 6:03,351,9.51365235817741,4.332,15.818,6,27,6,21.183776855469,49.157508850098
6/27/25 5:48,351,9.51365235817741,4.332,15.818,5,27,6,21.371398925781,48.131866455078
6/27/25 5:33,351,9.51365235817741,4.332,15.818,5,27,6,21.496490478516,47.936508178711
6/27/25 5:18,351,9.51365235817741,4.332,15.818,5,27,6,21.496490478516,47.692306518555
6/27/25 5:03,351,9.51365235817741,4.332,15.818,5,27,6,21.496490478516,47.580207824707
6/27/25 4:48,351,9.51365235817741,4.332,15.818,4,27,6,21.496490478516,47.496948242188
6/27/25 4:33,351,9.51365235817741,4.332,15.818,4,27,6,21.496490478516,47.277168273926
6/27/25 4:18,351,9.51365235817741,4.332,15.818,4,27,6,21.559020996094,47.008548736572
6/27/25 4:03,351,9.51365235817741,4.332,15.818,4,27,6,21.559020996094,46.69108581543
