timestamp,room_id,area,doors_area,panels_area,hours,days,months,temprature_value
6/27/25 18:46,129,203.203583327503,9.72,80.3687703982281,18,27,6,22.184417724609
6/27/25 18:31,129,203.203583327503,9.72,80.3687703982281,18,27,6,22.184417724609
6/27/25 18:16,129,203.203583327503,9.72,80.3687703982281,18,27,6,22.224447250366
6/27/25 18:01,129,203.203583327503,9.72,80.3687703982281,18,27,6,22.184417724609
6/27/25 17:46,129,203.203583327503,9.72,80.3687703982281,17,27,6,22.184417724609
6/27/25 17:31,129,203.203583327503,9.72,80.3687703982281,17,27,6,22.246963500977
6/27/25 17:16,129,203.203583327503,9.72,80.3687703982281,17,27,6,22.246963500977
6/27/25 17:01,129,203.203583327503,9.72,80.3687703982281,17,27,6,22.246963500977
6/27/25 16:46,129,203.203583327503,9.72,80.3687703982281,16,27,6,22.192813873291
6/27/25 16:31,129,203.203583327503,9.72,80.3687703982281,16,27,6,22.246963500977
6/27/25 16:16,129,203.203583327503,9.72,80.3687703982281,16,27,6,22.246963500977
6/27/25 16:01,129,203.203583327503,9.72,80.3687703982281,16,27,6,22.246963500977
6/27/25 15:46,129,203.203583327503,9.72,80.3687703982281,15,27,6,22.272577285767
6/27/25 15:31,129,203.203583327503,9.72,80.3687703982281,15,27,6,22.184417724609
6/27/25 15:16,129,203.203583327503,9.72,80.3687703982281,15,27,6,22.184417724609
6/27/25 15:01,129,203.203583327503,9.72,80.3687703982281,15,27,6,22.246963500977
6/27/25 14:46,129,203.203583327503,9.72,80.3687703982281,14,27,6,22.246963500977
6/27/25 14:31,129,203.203583327503,9.72,80.3687703982281,14,27,6,22.246963500977
6/27/25 14:16,129,203.203583327503,9.72,80.3687703982281,14,27,6,22.246963500977
6/27/25 14:01,129,203.203583327503,9.72,80.3687703982281,14,27,6,22.246963500977
6/27/25 13:46,129,203.203583327503,9.72,80.3687703982281,13,27,6,22.246963500977
6/27/25 13:31,129,203.203583327503,9.72,80.3687703982281,13,27,6,22.246963500977
6/27/25 13:16,129,203.203583327503,9.72,80.3687703982281,13,27,6,22.184417724609
6/27/25 13:01,129,203.203583327503,9.72,80.3687703982281,13,27,6,22.184417724609
6/27/25 12:46,129,203.203583327503,9.72,80.3687703982281,12,27,6,22.184417724609
6/27/25 12:31,129,203.203583327503,9.72,80.3687703982281,12,27,6,22.184417724609
6/27/25 12:16,129,203.203583327503,9.72,80.3687703982281,12,27,6,22.184417724609
6/27/25 12:01,129,203.203583327503,9.72,80.3687703982281,12,27,6,22.184417724609
6/27/25 11:46,129,203.203583327503,9.72,80.3687703982281,11,27,6,22.184417724609
6/27/25 11:31,129,203.203583327503,9.72,80.3687703982281,11,27,6,22.184417724609
6/27/25 11:16,129,203.203583327503,9.72,80.3687703982281,11,27,6,22.184417724609
6/27/25 11:01,129,203.203583327503,9.72,80.3687703982281,11,27,6,22.184417724609
6/27/25 10:46,129,203.203583327503,9.72,80.3687703982281,10,27,6,22.184417724609
6/27/25 10:31,129,203.203583327503,9.72,80.3687703982281,10,27,6,22.184417724609
6/27/25 10:16,129,203.203583327503,9.72,80.3687703982281,10,27,6,22.121871948242
6/27/25 10:01,129,203.203583327503,9.72,80.3687703982281,10,27,6,22.111381530762
6/27/25 9:46,129,203.203583327503,9.72,80.3687703982281,9,27,6,22.059341430664
6/27/25 9:31,129,203.203583327503,9.72,80.3687703982281,9,27,6,22.109365463257
6/27/25 9:16,129,203.203583327503,9.72,80.3687703982281,9,27,6,21.996795654297
6/27/25 9:01,129,203.203583327503,9.72,80.3687703982281,9,27,6,21.996795654297
6/27/25 8:46,129,203.203583327503,9.72,80.3687703982281,8,27,6,22.059341430664
6/27/25 8:31,129,203.203583327503,9.72,80.3687703982281,8,27,6,21.93424987793
6/27/25 8:16,129,203.203583327503,9.72,80.3687703982281,8,27,6,21.93424987793
6/27/25 8:01,129,203.203583327503,9.72,80.3687703982281,8,27,6,21.871719360352
6/27/25 7:46,129,203.203583327503,9.72,80.3687703982281,7,27,6,21.809173583984
6/27/25 7:31,129,203.203583327503,9.72,80.3687703982281,7,27,6,21.746643066406
6/27/25 7:16,129,203.203583327503,9.72,80.3687703982281,7,27,6,21.746643066406
6/27/25 7:01,129,203.203583327503,9.72,80.3687703982281,7,27,6,21.746643066406
6/27/25 6:46,129,203.203583327503,9.72,80.3687703982281,6,27,6,21.746643066406
6/27/25 6:31,129,203.203583327503,9.72,80.3687703982281,6,27,6,21.684097290039
6/27/25 6:16,129,203.203583327503,9.72,80.3687703982281,6,27,6,21.183776855469
6/27/25 6:01,129,203.203583327503,9.72,80.3687703982281,6,27,6,21.246322631836
6/27/25 5:46,129,203.203583327503,9.72,80.3687703982281,5,27,6,21.121246337891
6/27/25 5:31,129,203.203583327503,9.72,80.3687703982281,5,27,6,21.183776855469
6/27/25 5:16,129,203.203583327503,9.72,80.3687703982281,5,27,6,21.121246337891
6/27/25 5:01,129,203.203583327503,9.72,80.3687703982281,5,27,6,21.121246337891
6/27/25 4:46,129,203.203583327503,9.72,80.3687703982281,4,27,6,21.183776855469
6/27/25 4:31,129,203.203583327503,9.72,80.3687703982281,4,27,6,21.183776855469
6/27/25 4:16,129,203.203583327503,9.72,80.3687703982281,4,27,6,21.183776855469
6/27/25 4:01,129,203.203583327503,9.72,80.3687703982281,4,27,6,21.183776855469
6/27/25 3:46,129,203.203583327503,9.72,80.3687703982281,3,27,6,21.183776855469
6/27/25 3:31,129,203.203583327503,9.72,80.3687703982281,3,27,6,21.183776855469
